"soi_name","master_comp_security_name","family_name","security_type"
"",Security 101 (Common Equity),Security 1011323,Common Equity
"",Security 101 (Common Equity),Security 101,Common Equity
"",Omnia (Equity),Omnia,Common Equity
" APT OPCO, LLC ",APT Healthcare (Term Loan),APT Healthcare,First Lien
" BLC Holding  Company,  Inc.",Bland Landscaping (Revolver),Bland Landscaping,First Lien
" BLC Holding  Company,  Inc.",Bland Landscaping (DDTL),Bland Landscaping,First Lien
" BLC Holding  Company,  Inc.",Bland Landscaping (Term Loan),Bland Landscaping,First Lien
" Holdco Sands Intermediate, LLC ",Smartronix / Trident (TL),Smartronix / Trident,First Lien
" Management Consulting & Research, LLC ",MCR (Term Loan),MCR,First Lien
" PD Tri-State Holdco, LLC ",PDS Tri-State (Term Loan),PDS Tri-State,First Lien
" Puget Collision, LLC ",Puget Collision (Term Loan),Puget Collision,First Lien
" RECEPTION PURCHASER, LLC",STG (TL),STG Logistics,First Lien
"18 Freemont Street Acquisition, LLC",Circa (TL),Circass,First Lien
"48FORTY INTERMEDIATE HOLDINGS, INC","48Forty (Common Equity)","48Forty",Common Equity
"48FORTY INTERMEDIATE HOLDINGS, INC","48Forty (Term Loan)","48Forty",First Lien
"A1 GARAGE MERGER SUB, LLC",A1 Garage (DDTL),A1 Garage,First Lien
"A1 GARAGE MERGER SUB, LLC",A1 Garage (Revolver),A1 Garage,First Lien
"A1 GARAGE MERGER SUB, LLC",A1 Garage (Term Loan),A1 Garage,First Lien
"A1 Garage Equity, LLC",A1 Garage (Common Equity),A1 Garage,Common Equity
"A1 Garage Merger Sub, LLC",A1 Garage (Revolver),A1 Garage,First Lien
"A1 Garage Merger Sub, LLC",A1 Garage (Term Loan),A2 Garge,First Lien
"A1 Garage Merger Sub, LLC",A1 Garage (DDTL),"",First Lien
"ACP Big Top Holdings, L.P. (DE)",Big Top Manufacturing (Common Equity),Big Top Manufacturing,Common Equity
"ACP Falcon Buyer, Inc.",Integrated Data Services (Rev),Integrated Data Services,First Lien
"ACP Falcon Buyer, Inc.",Integrated Data Services (TL),Integrated Data Services,First Lien
"AERONIX, INC.",Aeronix (Revolver),Aeronix,First Lien
"AERONIX, INC.",Aeronix (TL),Aeronix,First Lien
AFC Acquisitions,AFC Industries (Common Equity),AFC Acquisitions,Common Equity
AFC Acquisitions,AFC Industries (DDTL),AFC Acquisitions,First Lien
AFC Acquisitions,AFC Industries (TL),AFC Acquisitions,First Lien
AFC Industries,AFC Industries (TL),AFC Acquisitions,First Lien
AFC Industries,AFC Industries (Common Equity),AFC Acquisitions,Common Equity
AFC Industries,AFC Industries (DDTL),AFC Acquisitions,First Lien
AG Investco LP,Athene (Equity),Athene,Common Equity
AG Investco LP (Unfunded),Athene (Equity),Athene,Common Equity
AG Investco LP - Unfunded,Athene (Equity),Athene,Common Equity
"AH Holdings, Inc.",American Surgical (Preferred Equity),American Surgical,Preferred Equity
"AH Holdings, Inc. (Warrants) ",American Surgical (Warrants),American Surgical,Common Equity
"AH Newco Equityholdings, LLC",American Surgical (Preferred Equity),American Surgical,Preferred Equity
AKW Holdings Limited,AKW Holdings (Term Loan),AKW Holdings,First Lien
AKW Holdings Limited (Equity),AKW Holdings (Common),AKW Holdings,Common Equity
ALLIED UNIVERSAL HOLDCO LLC,Allied Universal (Term Loan),Allied Universal,First Lien
"AMCSI CRASH CO-INVEST, LP",Crash Champions (Equity),Crash Champions,Common Equity
"AMCSI CRASH CO-INVEST, LP - Unfunded",Crash Champions (Equity),Crash Champions,Common Equity
API Holdings III Corp.,API Technologies (TL),API Technologies,First Lien
API Technologies Corp. - Unfunded Revolver,API Technologies (Revolver),API Technologies,First Lien
"APT OPCO, LLC",APT Healthcare (Common Equity),APT Healthcare,Common Equity
"APT OPCO, LLC",APT Healthcare (Incr. DDTL),APT Healthcare,First Lien
"APT OPCO, LLC",APT Healthcare (Revolver),APT Healthcare,First Lien
"APT OPCO, LLC",APT Healthcare (Term Loan),APT Healthcare,First Lien
"ASP LCG Holdings, Inc. (f/k/a Learning Care Group (US), No. 2 Inc.) (Warrants)",Learning Care Group (Common),"",Common Equity
"Accelevation, LLC",Accelevation (Term Loan),Accelevation,First Lien
"Accounting Platform Holdings, Inc",Harris (Preferred Equity),Harris,Common Equity
"Accounting Platform Holdings, Inc",Harris (Common Equity),Harris,Common Equity
"Acrisure, LLC",Acrisure (TLB-1),Acrisure,First Lien
"Ad.net Acquisition, LLC",Ad.net (Term Loan),Ad.net,First Lien
"Ad.net Acquisition, LLC - Funded Revolver",Ad.net (Revolver),Ad.net,First Lien
"Ad.net Acquisition, LLC - Unfunded Revolver",Ad.net (Revolver),Ad.net,First Lien
"Ad.net Holdings, Inc. (Common )",Ad.net (Common Equity),Ad.net,Common Equity
"Ad.net Holdings, Inc. (Common)",Ad.net (Common Equity),Ad.net,Preferred Equity
"Ad.net Holdings, Inc. (Preferred)",Ad.net (Preferred Equity),Ad.net,Preferred Equity
Advantage Sales & Marketing,Advantage (TL),Advantage Sales & Marketing,First Lien
Advantage Sales & Marketing ,Advantage (TL),Advantage Sales & Marketing,First Lien
Advantage Sales & Marketing Inc.,Advantage (TL),Advantage Sales & Marketing,First Lien
"Adweek Purchaser, LLC",Adweek (Term Loan),Adweek,First Lien
"Adweek Purchaser, LLC",Adweek (DDTL),Adweek,First Lien
Aechelon Technology Inc.,Aechelon (Common Equity),Aechelon,Common Equity
Aechelon Technology Inc.,Aechelon (Term Loan),Aechelon,First Lien
Aechelon Technology Inc.,Aechelon (Revolver),Aechelon,First Lien
"Affinion Group Holdings, Inc. (Warrants)",Affinion (Warrants),Affinion,Common Equity
"Aftermarket Drivetrain Products Holdings, LLC",TransGo (Equity),TransGo,Common Equity
"Aftermarket Drivetrain Products Holdings, LLC ",TransGo (Equity),TransGo,Common Equity
Alpine Acquisition Corp II,"48Forty (Term Loan)","48Forty",First Lien
Alpine Acquisition Corp II - Unfunded Term Loan,"48Forty (DDTL)","48Forty",First Lien
"Altamira Intermediate Company II, Inc.",Altamira (Common Equity),Altamira,Common Equity
"Altamira Technologies, LLC",Altamira (TL),Altamira,First Lien
"Altamira Technologies, LLC - Funded Revolver",Altamira (RC),Altamira,First Lien
"Altamira Technologies, LLC - Unfunded Revolver",Altamira (RC),Altamira,First Lien
"American Auto Auction Group, LLC",XLerate,sadsad,First Lien
"American Insulated Glass, LLC",American Insulated Glass (Term Loan),American Insulated Glass,First Lien
"American Insulated Glass, LLC - Unfunded Term Loan",American Insulated Glass (DDTL),American Insulated Glass,First Lien
"American Teleconferencing Services, Ltd.",Premiere Global Services (PGi) (Term Loan),Premiere Global Services (PGi),First Lien
"American Teleconferencing Services, Ltd. - Funded Revolver",Premiere Global Services (PGi) (Priority Revolver),Premiere Global Services (PGi),First Lien
Amsive Holding Corporation,Vision Integrated (TL),Vision Integrated,First Lien
Amsive Holding Corporation (f/k/a Vision Purchaser Corporation),Vision Integrated (TL),Vision Integrated,First Lien
Ankura Consulting Group,Ankura (TL),Ankura,First Lien
"Ankura Consulting Group, LLC",Ankura (TL),Ankura,First Lien
"Anteriad, LLC (f/k/a MeritDirect, LLC)",MeritDirect (Term Loan),MeritDirect,First Lien
Any Hour Services,Any Hour Services (Term Loan),Any Hour Services,First Lien
Any Hour Services - Unfunded Revolver,Any Hour Services (Revolver),Any Hour Services,First Lien
Any Hour Services - Unfunded Term Loan,Any Hour Services (DDTL),Any Hour Services,First Lien
Any Hour Services - Unfunded Term Loan II,Any Hour Services (DDTL II),Any Hour Services,First Lien
"Apex Service Partners, LLC",Apex (Term Loan),Apex Service Partners,First Lien
